Crash_Condition_ID,Posted_Speed_Limit,Traffic_Control_Device,Traffic_Control_Device_Condition,Weather_Condition,Lighting_Condition,Trafficway_Type,Roadway_Surface_Condition,Road_Defect,Alignment
18,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
19,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT AND LEVEL
20,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
21,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ONE-WAY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
22,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",CENTER TURN LANE,DRY,NO DEFECTS,STRAIGHT AND LEVEL
23,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKING LOT,DRY,NO DEFECTS,STRAIGHT AND LEVEL
24,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DARKNESS,DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
25,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKING LOT,DRY,WORN SURFACE,STRAIGHT AND LEVEL
26,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
27,35,STOP SIGN/FLASHER,UNKNOWN,UNKNOWN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,UNKNOWN,WORN SURFACE,"CURVE, LEVEL"
28,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
29,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),DRY,"RUT, HOLES",STRAIGHT AND LEVEL
30,25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
31,10,NO CONTROLS,NO CONTROLS,UNKNOWN,DARKNESS,PARKING LOT,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL
32,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ONE-WAY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
33,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,UNKNOWN,STRAIGHT AND LEVEL
34,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,UNKNOWN,STRAIGHT AND LEVEL
35,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DUSK,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
36,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT AND LEVEL
37,30,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DUSK,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT AND LEVEL
38,30,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,PARKING LOT,DRY,NO DEFECTS,STRAIGHT AND LEVEL
39,30,STOP SIGN/FLASHER,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",OTHER,DRY,UNKNOWN,STRAIGHT AND LEVEL
40,20,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ONE-WAY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
41,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DUSK,DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
42,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
43,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DUSK,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT AND LEVEL
44,30,UNKNOWN,UNKNOWN,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
45,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKING LOT,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL
46,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT AND LEVEL
47,30,TRAFFIC SIGNAL,NO CONTROLS,CLEAR,DUSK,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
48,25,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ONE-WAY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
49,30,STOP SIGN/FLASHER,OTHER,CLEAR,DUSK,DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
50,5,NO CONTROLS,NO CONTROLS,CLEAR,UNKNOWN,ALLEY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
51,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
52,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",RAMP,DRY,NO DEFECTS,STRAIGHT ON GRADE
53,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DUSK,ONE-WAY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
54,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DUSK,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT AND LEVEL
55,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT AND LEVEL
56,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL
57,35,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
58,0,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,DRIVEWAY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
59,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT ON GRADE
60,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",STRAIGHT AND LEVEL
61,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
62,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
63,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKING LOT,DRY,NO DEFECTS,STRAIGHT AND LEVEL
64,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
65,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,UNKNOWN,STRAIGHT AND LEVEL
66,20,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,PARKING LOT,DRY,UNKNOWN,STRAIGHT AND LEVEL
67,30,NO CONTROLS,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT AND LEVEL
68,0,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKING LOT,DRY,NO DEFECTS,STRAIGHT AND LEVEL
69,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ONE-WAY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
70,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ONE-WAY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
71,20,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
72,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,UNKNOWN,STRAIGHT AND LEVEL
73,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL
74,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ALLEY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
75,35,NO CONTROLS,NO CONTROLS,UNKNOWN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT AND LEVEL
76,15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKING LOT,UNKNOWN,NO DEFECTS,STRAIGHT AND LEVEL
77,35,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
78,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,CENTER TURN LANE,DRY,NO DEFECTS,STRAIGHT AND LEVEL
79,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
80,30,OTHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
81,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT AND LEVEL
82,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT ON HILLCREST
83,30,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,ONE-WAY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
84,15,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,RAMP,DRY,NO DEFECTS,STRAIGHT ON GRADE
85,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,UNKNOWN,STRAIGHT AND LEVEL
86,30,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT AND LEVEL
87,35,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT ON GRADE
88,0,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,PARKING LOT,DRY,NO DEFECTS,STRAIGHT AND LEVEL
89,30,UNKNOWN,UNKNOWN,CLEAR,DAYLIGHT,OTHER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
90,15,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,ALLEY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
91,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ONE-WAY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
92,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT AND LEVEL
93,30,UNKNOWN,UNKNOWN,UNKNOWN,DAYLIGHT,NOT DIVIDED,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL
94,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL
95,25,NO CONTROLS,NO CONTROLS,UNKNOWN,UNKNOWN,PARKING LOT,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL
96,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT AND LEVEL
97,20,STOP SIGN/FLASHER,NO CONTROLS,CLEAR,DAYLIGHT,ONE-WAY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
98,5,UNKNOWN,UNKNOWN,CLEAR,DAYLIGHT,PARKING LOT,DRY,NO DEFECTS,STRAIGHT AND LEVEL
99,15,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,ONE-WAY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
100,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAWN,OTHER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
101,30,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAWN,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
102,30,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,"CURVE, LEVEL"
103,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAWN,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
104,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAWN,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
105,25,NO CONTROLS,NO CONTROLS,UNKNOWN,UNKNOWN,NOT DIVIDED,UNKNOWN,NO DEFECTS,STRAIGHT AND LEVEL
106,30,UNKNOWN,UNKNOWN,CLEAR,DARKNESS,DIVIDED - W/MEDIAN BARRIER,DRY,UNKNOWN,STRAIGHT AND LEVEL
107,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN BARRIER,DRY,WORN SURFACE,STRAIGHT AND LEVEL
108,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,"CURVE, LEVEL"
109,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),DRY,UNKNOWN,STRAIGHT AND LEVEL
110,20,NO CONTROLS,NO CONTROLS,UNKNOWN,DARKNESS,ONE-WAY,UNKNOWN,NO DEFECTS,STRAIGHT AND LEVEL
111,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
112,20,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,ONE-WAY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
113,30,TRAFFIC SIGNAL,FUNCTIONING IMPROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,UNKNOWN,STRAIGHT AND LEVEL
114,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
115,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",RAMP,DRY,NO DEFECTS,STRAIGHT AND LEVEL
116,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ONE-WAY,DRY,UNKNOWN,STRAIGHT AND LEVEL
117,30,NO CONTROLS,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",ONE-WAY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
118,35,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT AND LEVEL
119,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",OTHER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
120,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
121,35,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,UNKNOWN,STRAIGHT AND LEVEL
122,30,LANE USE MARKING,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL
123,25,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
124,25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT AND LEVEL
125,15,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,ONE-WAY,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL
126,30,NO CONTROLS,NO CONTROLS,CLEAR,UNKNOWN,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
127,45,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,DRY,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
128,30,STOP SIGN/FLASHER,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT AND LEVEL
129,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
130,20,NO CONTROLS,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",OTHER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
131,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT AND LEVEL
132,25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,UNKNOWN,STRAIGHT AND LEVEL
133,35,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,STRAIGHT AND LEVEL
134,25,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ONE-WAY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
135,15,NO CONTROLS,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL
136,30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT DIVIDED,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL
137,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",OTHER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
138,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
139,45,LANE USE MARKING,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
140,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PARKING LOT,DRY,NO DEFECTS,STRAIGHT AND LEVEL
141,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,DRY,UNKNOWN,STRAIGHT AND LEVEL
142,30,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
143,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DUSK,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
144,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL
145,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,UNKNOWN,NOT DIVIDED,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL
146,30,TRAFFIC SIGNAL,FUNCTIONING IMPROPERLY,UNKNOWN,UNKNOWN,NOT DIVIDED,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL
147,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,NOT DIVIDED,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL
148,30,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
149,30,STOP SIGN/FLASHER,NO CONTROLS,CLEAR,DUSK,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
150,25,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ONE-WAY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
151,0,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,OTHER,DRY,OTHER,STRAIGHT AND LEVEL
152,15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKING LOT,DRY,NO DEFECTS,STRAIGHT AND LEVEL
153,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DUSK,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
154,15,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DUSK,PARKING LOT,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL
155,30,NO CONTROLS,NO CONTROLS,CLEAR,UNKNOWN,NOT DIVIDED,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL
156,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
157,10,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKING LOT,DRY,NO DEFECTS,STRAIGHT AND LEVEL
158,30,UNKNOWN,UNKNOWN,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
159,15,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,PARKING LOT,DRY,NO DEFECTS,STRAIGHT AND LEVEL
160,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
161,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,OTHER,DRY,NO DEFECTS,STRAIGHT AND LEVEL
