Crash_Condition_ID,Posted_Speed_Limit,Traffic_Control_Device,Traffic_Control_Device_Condition,Weather_Condition,Lighting_Condition,Trafficway_Type,Roadway_Surface_Condition,Road_Defect,Alignment
38,35,STOP SIGN,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,ICE,DEBRIS ON ROADWAY,CURVE ON GRADE
39,20,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,SEVERE CROSS WIND,"DARKNESS, LIGHTED ROAD",PARKING LOT,DRY,DEBRIS ON ROADWAY,CURVE LEVEL
40,30,YIELD SIGN,DAMAGED,CLEAR,DARKNESS,ONE-WAY,DRY,WORN SURFACE,CURVE ON GRADE
41,30,RAILROAD CROSSING GATE,MISSING,FOG/SMOKE,"DARKNESS, LIGHTED ROAD",DIVIDED,SAND/MUD/DIRT,WORN SURFACE,STRAIGHT ON GRADE
42,40,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,DIVIDED,ICE,NO DEFECTS,STRAIGHT AND LEVEL
43,45,NO CONTROLS,FUNCTIONING PROPERLY,FOG/SMOKE,DAYLIGHT,ONE-WAY,SAND/MUD/DIRT,NO DEFECTS,CURVE LEVEL
44,20,YIELD SIGN,DAMAGED,CLEAR,DUSK,PARKING LOT,SAND/MUD/DIRT,NO DEFECTS,STRAIGHT ON GRADE
45,40,YIELD SIGN,MISSING,RAIN,DAWN,DIVIDED,WET,SHOULDER DEFECT,STRAIGHT AND LEVEL
46,20,NO CONTROLS,NOT FUNCTIONING,SLEET/HAIL,"DARKNESS, LIGHTED ROAD",PARKING LOT,SAND/MUD/DIRT,NO DEFECTS,CURVE LEVEL
47,30,NO CONTROLS,MISSING,RAIN,DARKNESS,ALLEY,SAND/MUD/DIRT,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
48,20,YIELD SIGN,MISSING,RAIN,DAYLIGHT,ONE-WAY,WET,NO DEFECTS,CURVE LEVEL
49,20,NO CONTROLS,DAMAGED,SLEET/HAIL,DAYLIGHT,ALLEY,SNOW OR SLUSH,SHOULDER DEFECT,CURVE LEVEL
50,20,STOP SIGN,MISSING,SNOW,DAYLIGHT,DIVIDED,SNOW OR SLUSH,NO DEFECTS,STRAIGHT ON GRADE
51,55,NO CONTROLS,DAMAGED,SNOW,DAWN,PARKING LOT,WET,NO DEFECTS,CURVE ON GRADE
52,25,TRAFFIC SIGNAL,NOT FUNCTIONING,SNOW,DAWN,ALLEY,SAND/MUD/DIRT,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
53,25,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED,DRY,DEBRIS ON ROADWAY,CURVE LEVEL
54,45,STOP SIGN,FUNCTIONING PROPERLY,RAIN,DARKNESS,NOT DIVIDED,ICE,DEBRIS ON ROADWAY,CURVE LEVEL
55,45,NO CONTROLS,DAMAGED,SEVERE CROSS WIND,DAWN,ALLEY,DRY,NO DEFECTS,STRAIGHT ON GRADE
56,50,TRAFFIC SIGNAL,DAMAGED,SLEET/HAIL,DUSK,NOT DIVIDED,DRY,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
57,30,RAILROAD CROSSING GATE,MISSING,SEVERE CROSS WIND,DAWN,NOT DIVIDED,SAND/MUD/DIRT,WORN SURFACE,STRAIGHT AND LEVEL
58,20,NO CONTROLS,MISSING,CLEAR,DAYLIGHT,DIVIDED,ICE,POTHOLES,STRAIGHT AND LEVEL
59,30,STOP SIGN,FUNCTIONING PROPERLY,SLEET/HAIL,DARKNESS,ONE-WAY,ICE,POTHOLES,STRAIGHT AND LEVEL
60,25,NO CONTROLS,FUNCTIONING PROPERLY,SEVERE CROSS WIND,"DARKNESS, LIGHTED ROAD",PARKING LOT,SNOW OR SLUSH,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
61,55,YIELD SIGN,FUNCTIONING PROPERLY,CLEAR,DAWN,DIVIDED,WET,SHOULDER DEFECT,CURVE ON GRADE
62,20,YIELD SIGN,DAMAGED,CLEAR,DAYLIGHT,ALLEY,SAND/MUD/DIRT,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
63,40,TRAFFIC SIGNAL,NOT FUNCTIONING,CLEAR,DUSK,PARKING LOT,ICE,DEBRIS ON ROADWAY,CURVE LEVEL
64,25,YIELD SIGN,NOT FUNCTIONING,SLEET/HAIL,DUSK,ONE-WAY,SAND/MUD/DIRT,NO DEFECTS,STRAIGHT AND LEVEL
65,25,STOP SIGN,DAMAGED,SEVERE CROSS WIND,"DARKNESS, LIGHTED ROAD",DIVIDED,SNOW OR SLUSH,SHOULDER DEFECT,CURVE ON GRADE
66,25,TRAFFIC SIGNAL,MISSING,SEVERE CROSS WIND,"DARKNESS, LIGHTED ROAD",ONE-WAY,DRY,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
67,50,STOP SIGN,NOT FUNCTIONING,FOG/SMOKE,DAWN,ALLEY,ICE,WORN SURFACE,CURVE ON GRADE
68,20,STOP SIGN,MISSING,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED,SNOW OR SLUSH,POTHOLES,CURVE ON GRADE
69,45,YIELD SIGN,FUNCTIONING PROPERLY,SNOW,DAYLIGHT,ALLEY,SAND/MUD/DIRT,WORN SURFACE,CURVE ON GRADE
70,35,YIELD SIGN,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,PARKING LOT,SNOW OR SLUSH,WORN SURFACE,STRAIGHT AND LEVEL
71,40,STOP SIGN,MISSING,FOG/SMOKE,DAYLIGHT,PARKING LOT,SNOW OR SLUSH,WORN SURFACE,STRAIGHT AND LEVEL
72,40,YIELD SIGN,FUNCTIONING PROPERLY,FOG/SMOKE,DAWN,ONE-WAY,SNOW OR SLUSH,SHOULDER DEFECT,CURVE ON GRADE
73,30,YIELD SIGN,DAMAGED,SLEET/HAIL,DAWN,ONE-WAY,SNOW OR SLUSH,SHOULDER DEFECT,STRAIGHT ON GRADE
74,20,YIELD SIGN,MISSING,FOG/SMOKE,"DARKNESS, LIGHTED ROAD",PARKING LOT,SNOW OR SLUSH,SHOULDER DEFECT,STRAIGHT AND LEVEL
75,45,NO CONTROLS,MISSING,SEVERE CROSS WIND,DAWN,NOT DIVIDED,SNOW OR SLUSH,POTHOLES,STRAIGHT ON GRADE
76,25,STOP SIGN,MISSING,SLEET/HAIL,DAYLIGHT,PARKING LOT,WET,NO DEFECTS,STRAIGHT AND LEVEL
77,35,RAILROAD CROSSING GATE,NOT FUNCTIONING,SLEET/HAIL,DARKNESS,DIVIDED,SAND/MUD/DIRT,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
78,20,STOP SIGN,MISSING,SNOW,DAYLIGHT,ALLEY,DRY,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
79,20,TRAFFIC SIGNAL,MISSING,CLEAR,DARKNESS,PARKING LOT,SAND/MUD/DIRT,NO DEFECTS,CURVE ON GRADE
80,50,YIELD SIGN,MISSING,FOG/SMOKE,"DARKNESS, LIGHTED ROAD",PARKING LOT,ICE,DEBRIS ON ROADWAY,CURVE LEVEL
81,45,YIELD SIGN,NOT FUNCTIONING,CLEAR,DUSK,ALLEY,ICE,WORN SURFACE,CURVE LEVEL
82,35,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,CLEAR,DAWN,ALLEY,SAND/MUD/DIRT,POTHOLES,STRAIGHT ON GRADE
83,25,TRAFFIC SIGNAL,NOT FUNCTIONING,CLEAR,DAWN,DIVIDED,SNOW OR SLUSH,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
84,20,NO CONTROLS,DAMAGED,SLEET/HAIL,DAYLIGHT,ALLEY,WET,POTHOLES,CURVE ON GRADE
85,40,STOP SIGN,MISSING,CLEAR,DAYLIGHT,ONE-WAY,DRY,NO DEFECTS,CURVE ON GRADE
86,55,NO CONTROLS,DAMAGED,FOG/SMOKE,DARKNESS,PARKING LOT,SNOW OR SLUSH,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
87,40,TRAFFIC SIGNAL,NOT FUNCTIONING,SLEET/HAIL,DAWN,ALLEY,SAND/MUD/DIRT,POTHOLES,CURVE LEVEL
88,35,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,FOG/SMOKE,"DARKNESS, LIGHTED ROAD",DIVIDED,SAND/MUD/DIRT,WORN SURFACE,CURVE ON GRADE
89,55,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SLEET/HAIL,DAYLIGHT,ALLEY,WET,WORN SURFACE,STRAIGHT ON GRADE
90,25,RAILROAD CROSSING GATE,MISSING,RAIN,DAWN,PARKING LOT,WET,NO DEFECTS,CURVE ON GRADE
91,35,NO CONTROLS,FUNCTIONING PROPERLY,RAIN,DUSK,NOT DIVIDED,SAND/MUD/DIRT,SHOULDER DEFECT,CURVE ON GRADE
92,20,NO CONTROLS,NOT FUNCTIONING,RAIN,DARKNESS,ALLEY,SNOW OR SLUSH,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
93,50,TRAFFIC SIGNAL,NOT FUNCTIONING,RAIN,DAYLIGHT,ONE-WAY,SNOW OR SLUSH,WORN SURFACE,CURVE ON GRADE
94,50,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SLEET/HAIL,DAYLIGHT,PARKING LOT,SNOW OR SLUSH,WORN SURFACE,STRAIGHT ON GRADE
95,40,YIELD SIGN,MISSING,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED,DRY,NO DEFECTS,CURVE ON GRADE
96,50,RAILROAD CROSSING GATE,MISSING,SNOW,DAYLIGHT,PARKING LOT,DRY,WORN SURFACE,STRAIGHT ON GRADE
97,30,YIELD SIGN,NOT FUNCTIONING,SEVERE CROSS WIND,DAWN,NOT DIVIDED,SNOW OR SLUSH,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
98,35,STOP SIGN,FUNCTIONING PROPERLY,SNOW,DAWN,DIVIDED,SAND/MUD/DIRT,NO DEFECTS,STRAIGHT AND LEVEL
99,50,STOP SIGN,NOT FUNCTIONING,RAIN,DAWN,NOT DIVIDED,WET,POTHOLES,CURVE LEVEL
100,30,TRAFFIC SIGNAL,NOT FUNCTIONING,CLEAR,DUSK,NOT DIVIDED,ICE,NO DEFECTS,STRAIGHT AND LEVEL
101,30,NO CONTROLS,DAMAGED,FOG/SMOKE,DUSK,ONE-WAY,WET,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
102,45,STOP SIGN,NOT FUNCTIONING,CLEAR,DAYLIGHT,ALLEY,WET,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
103,40,STOP SIGN,MISSING,FOG/SMOKE,DUSK,ONE-WAY,ICE,POTHOLES,CURVE LEVEL
104,35,YIELD SIGN,FUNCTIONING PROPERLY,SNOW,DUSK,ONE-WAY,SNOW OR SLUSH,NO DEFECTS,STRAIGHT AND LEVEL
105,30,YIELD SIGN,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ONE-WAY,WET,DEBRIS ON ROADWAY,CURVE ON GRADE
106,20,STOP SIGN,DAMAGED,CLEAR,DUSK,DIVIDED,ICE,DEBRIS ON ROADWAY,CURVE LEVEL
107,50,TRAFFIC SIGNAL,DAMAGED,SEVERE CROSS WIND,DARKNESS,ALLEY,SAND/MUD/DIRT,POTHOLES,STRAIGHT AND LEVEL
108,45,YIELD SIGN,MISSING,SNOW,DARKNESS,ALLEY,SAND/MUD/DIRT,SHOULDER DEFECT,CURVE LEVEL
109,25,STOP SIGN,DAMAGED,CLEAR,DARKNESS,DIVIDED,SAND/MUD/DIRT,NO DEFECTS,STRAIGHT AND LEVEL
110,50,NO CONTROLS,NOT FUNCTIONING,FOG/SMOKE,DAYLIGHT,ONE-WAY,SNOW OR SLUSH,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
111,50,YIELD SIGN,NOT FUNCTIONING,CLEAR,DAWN,ONE-WAY,WET,WORN SURFACE,CURVE LEVEL
112,50,STOP SIGN,MISSING,FOG/SMOKE,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,POTHOLES,CURVE LEVEL
113,45,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,NOT DIVIDED,DRY,SHOULDER DEFECT,STRAIGHT AND LEVEL
114,25,YIELD SIGN,MISSING,CLEAR,DAWN,PARKING LOT,SAND/MUD/DIRT,SHOULDER DEFECT,CURVE LEVEL
115,40,RAILROAD CROSSING GATE,DAMAGED,FOG/SMOKE,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,SNOW OR SLUSH,POTHOLES,STRAIGHT AND LEVEL
116,35,YIELD SIGN,FUNCTIONING PROPERLY,SNOW,"DARKNESS, LIGHTED ROAD",ALLEY,ICE,SHOULDER DEFECT,CURVE ON GRADE
117,35,YIELD SIGN,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",DIVIDED,SNOW OR SLUSH,DEBRIS ON ROADWAY,CURVE LEVEL
118,25,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,CLEAR,DARKNESS,ONE-WAY,WET,SHOULDER DEFECT,CURVE LEVEL
119,55,TRAFFIC SIGNAL,DAMAGED,SEVERE CROSS WIND,DARKNESS,PARKING LOT,SAND/MUD/DIRT,NO DEFECTS,STRAIGHT ON GRADE
120,50,STOP SIGN,NOT FUNCTIONING,FOG/SMOKE,DARKNESS,NOT DIVIDED,DRY,WORN SURFACE,STRAIGHT ON GRADE
121,20,TRAFFIC SIGNAL,NOT FUNCTIONING,SEVERE CROSS WIND,"DARKNESS, LIGHTED ROAD",PARKING LOT,SNOW OR SLUSH,DEBRIS ON ROADWAY,CURVE LEVEL
122,25,TRAFFIC SIGNAL,DAMAGED,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED,DRY,POTHOLES,STRAIGHT ON GRADE
123,25,STOP SIGN,DAMAGED,FOG/SMOKE,DARKNESS,DIVIDED,WET,WORN SURFACE,CURVE LEVEL
124,35,NO CONTROLS,MISSING,CLEAR,"DARKNESS, LIGHTED ROAD",PARKING LOT,ICE,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
125,30,TRAFFIC SIGNAL,MISSING,RAIN,DARKNESS,PARKING LOT,SNOW OR SLUSH,WORN SURFACE,CURVE LEVEL
126,20,TRAFFIC SIGNAL,NOT FUNCTIONING,RAIN,DARKNESS,PARKING LOT,WET,SHOULDER DEFECT,CURVE LEVEL
127,35,TRAFFIC SIGNAL,DAMAGED,CLEAR,DARKNESS,ONE-WAY,SAND/MUD/DIRT,POTHOLES,CURVE ON GRADE
128,45,NO CONTROLS,MISSING,CLEAR,DAWN,ALLEY,SNOW OR SLUSH,POTHOLES,STRAIGHT ON GRADE
129,25,YIELD SIGN,DAMAGED,SLEET/HAIL,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,STRAIGHT ON GRADE
130,55,RAILROAD CROSSING GATE,DAMAGED,CLEAR,DAYLIGHT,NOT DIVIDED,SNOW OR SLUSH,SHOULDER DEFECT,CURVE ON GRADE
131,30,RAILROAD CROSSING GATE,NOT FUNCTIONING,CLEAR,DARKNESS,NOT DIVIDED,WET,NO DEFECTS,STRAIGHT AND LEVEL
132,20,NO CONTROLS,NOT FUNCTIONING,SEVERE CROSS WIND,DAYLIGHT,PARKING LOT,WET,NO DEFECTS,STRAIGHT AND LEVEL
133,40,TRAFFIC SIGNAL,DAMAGED,SEVERE CROSS WIND,DAWN,PARKING LOT,DRY,SHOULDER DEFECT,STRAIGHT AND LEVEL
134,20,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",PARKING LOT,WET,DEBRIS ON ROADWAY,CURVE ON GRADE
135,20,NO CONTROLS,FUNCTIONING PROPERLY,SEVERE CROSS WIND,DARKNESS,ONE-WAY,SNOW OR SLUSH,NO DEFECTS,CURVE LEVEL
136,50,STOP SIGN,DAMAGED,CLEAR,DARKNESS,ONE-WAY,DRY,WORN SURFACE,STRAIGHT AND LEVEL
137,25,RAILROAD CROSSING GATE,NOT FUNCTIONING,SNOW,DARKNESS,ONE-WAY,WET,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
138,25,STOP SIGN,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ONE-WAY,WET,SHOULDER DEFECT,CURVE ON GRADE
139,40,TRAFFIC SIGNAL,NOT FUNCTIONING,SLEET/HAIL,DAWN,DIVIDED,SNOW OR SLUSH,POTHOLES,STRAIGHT ON GRADE
140,40,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,FOG/SMOKE,"DARKNESS, LIGHTED ROAD",ONE-WAY,WET,DEBRIS ON ROADWAY,CURVE ON GRADE
141,40,NO CONTROLS,DAMAGED,RAIN,DAWN,ONE-WAY,SNOW OR SLUSH,NO DEFECTS,STRAIGHT ON GRADE
142,35,YIELD SIGN,MISSING,SEVERE CROSS WIND,DARKNESS,ONE-WAY,SAND/MUD/DIRT,WORN SURFACE,STRAIGHT AND LEVEL
143,35,RAILROAD CROSSING GATE,MISSING,SNOW,DAWN,NOT DIVIDED,SNOW OR SLUSH,SHOULDER DEFECT,STRAIGHT AND LEVEL
144,25,RAILROAD CROSSING GATE,NOT FUNCTIONING,FOG/SMOKE,DAYLIGHT,NOT DIVIDED,ICE,POTHOLES,CURVE LEVEL
145,25,RAILROAD CROSSING GATE,NOT FUNCTIONING,SNOW,DUSK,NOT DIVIDED,WET,WORN SURFACE,CURVE LEVEL
146,40,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,RAIN,DUSK,ALLEY,SAND/MUD/DIRT,POTHOLES,STRAIGHT ON GRADE
147,35,NO CONTROLS,DAMAGED,SEVERE CROSS WIND,"DARKNESS, LIGHTED ROAD",DIVIDED,DRY,SHOULDER DEFECT,STRAIGHT AND LEVEL
148,30,NO CONTROLS,FUNCTIONING PROPERLY,SLEET/HAIL,"DARKNESS, LIGHTED ROAD",PARKING LOT,ICE,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
149,35,YIELD SIGN,DAMAGED,RAIN,DAWN,ONE-WAY,DRY,NO DEFECTS,CURVE ON GRADE
150,25,NO CONTROLS,DAMAGED,SNOW,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,ICE,SHOULDER DEFECT,STRAIGHT AND LEVEL
151,35,NO CONTROLS,NOT FUNCTIONING,SNOW,DAYLIGHT,DIVIDED,SAND/MUD/DIRT,WORN SURFACE,STRAIGHT AND LEVEL
152,25,TRAFFIC SIGNAL,MISSING,RAIN,DARKNESS,ONE-WAY,SAND/MUD/DIRT,DEBRIS ON ROADWAY,CURVE ON GRADE
153,40,TRAFFIC SIGNAL,MISSING,CLEAR,DARKNESS,ALLEY,SAND/MUD/DIRT,POTHOLES,CURVE ON GRADE
154,50,STOP SIGN,NOT FUNCTIONING,RAIN,DAWN,PARKING LOT,ICE,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
155,40,YIELD SIGN,MISSING,SEVERE CROSS WIND,DARKNESS,ONE-WAY,SNOW OR SLUSH,DEBRIS ON ROADWAY,CURVE LEVEL
156,40,TRAFFIC SIGNAL,NOT FUNCTIONING,SEVERE CROSS WIND,DAWN,PARKING LOT,DRY,WORN SURFACE,CURVE LEVEL
157,30,YIELD SIGN,FUNCTIONING PROPERLY,SLEET/HAIL,"DARKNESS, LIGHTED ROAD",ONE-WAY,SNOW OR SLUSH,NO DEFECTS,STRAIGHT AND LEVEL
158,50,YIELD SIGN,DAMAGED,RAIN,"DARKNESS, LIGHTED ROAD",ALLEY,SNOW OR SLUSH,DEBRIS ON ROADWAY,CURVE LEVEL
159,30,RAILROAD CROSSING GATE,MISSING,FOG/SMOKE,DAYLIGHT,DIVIDED,WET,DEBRIS ON ROADWAY,CURVE ON GRADE
160,25,YIELD SIGN,MISSING,SEVERE CROSS WIND,DARKNESS,PARKING LOT,DRY,NO DEFECTS,CURVE LEVEL
161,20,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,SEVERE CROSS WIND,DAYLIGHT,PARKING LOT,ICE,NO DEFECTS,STRAIGHT AND LEVEL
162,45,STOP SIGN,FUNCTIONING PROPERLY,SEVERE CROSS WIND,DUSK,DIVIDED,WET,POTHOLES,CURVE LEVEL
163,30,STOP SIGN,MISSING,CLEAR,DAYLIGHT,PARKING LOT,WET,POTHOLES,STRAIGHT AND LEVEL
164,25,STOP SIGN,MISSING,FOG/SMOKE,DAWN,NOT DIVIDED,SAND/MUD/DIRT,NO DEFECTS,CURVE LEVEL
165,50,RAILROAD CROSSING GATE,NOT FUNCTIONING,RAIN,DAWN,DIVIDED,ICE,SHOULDER DEFECT,STRAIGHT AND LEVEL
166,35,RAILROAD CROSSING GATE,NOT FUNCTIONING,CLEAR,DAYLIGHT,ALLEY,SNOW OR SLUSH,NO DEFECTS,STRAIGHT AND LEVEL
167,50,STOP SIGN,MISSING,SEVERE CROSS WIND,"DARKNESS, LIGHTED ROAD",ONE-WAY,SNOW OR SLUSH,POTHOLES,CURVE LEVEL
168,40,RAILROAD CROSSING GATE,NOT FUNCTIONING,FOG/SMOKE,DUSK,ONE-WAY,SNOW OR SLUSH,WORN SURFACE,CURVE LEVEL
169,40,NO CONTROLS,FUNCTIONING PROPERLY,FOG/SMOKE,DAYLIGHT,DIVIDED,SAND/MUD/DIRT,WORN SURFACE,CURVE ON GRADE
