Crash_Location_ID,Street_No,Street_Direction,Beat_Of_Occurrence,Latitude,Longitude,Location
33,1900,W,1913,41.85601666143302,-87.67908485719833,POINT (-87.8676 41.9142)
34,7735,E,1101,41.88757595966498,-87.91980683323568,POINT (-87.6966 41.6684)
35,1268,W,1502,41.72009695075478,-87.73689867400438,POINT (-87.7067 41.9875)
36,1529,N,1304,41.851453358213675,-87.93384820654555,POINT (-87.6294 41.6478)
37,3557,N,1871,41.96546749304978,-87.55311957032404,POINT (-87.7303 42.0057)
38,3891,W,1540,41.95732505927291,-87.53004386983618,POINT (-87.8256 41.8157)
39,8839,W,1553,41.9923949686228,-87.84664123801178,POINT (-87.8689 41.7968)
40,5394,S,1355,41.77903660763162,-87.85259546546952,POINT (-87.6793 41.7374)
41,8793,W,1303,41.76085883756935,-87.6234375258439,POINT (-87.6380 41.6438)
42,8434,S,1496,41.92478188227271,-87.83358065249168,POINT (-87.7008 41.7444)
43,7514,N,1658,41.80382271393686,-87.56406784515202,POINT (-87.6299 41.6816)
44,2613,S,1768,41.67326849233056,-87.69894976282835,POINT (-87.8806 41.8907)
45,7042,W,1974,41.74746442965479,-87.79267339833567,POINT (-87.5694 41.7612)
46,9556,N,1227,41.799061268501966,-87.59026862653324,POINT (-87.6954 41.9315)
47,6236,E,1236,41.751156241680974,-87.73276918582637,POINT (-87.8867 41.7186)
48,5487,S,1873,41.76623811695998,-87.55711417624244,POINT (-87.7460 41.9821)
49,7100,N,1892,41.75163484434627,-87.55023402057365,POINT (-87.5852 41.8387)
50,9671,S,1455,41.65576968352957,-87.87052353610606,POINT (-87.5630 41.6835)
51,776,N,1013,41.88209598631329,-87.93902416942458,POINT (-87.8288 41.7923)
52,8227,N,1210,41.86697111973432,-87.52674900514019,POINT (-87.6413 41.7186)
53,3153,S,1741,41.8882857294219,-87.55942223482646,POINT (-87.8980 41.7159)
54,1586,E,1397,41.71307776049278,-87.91671300100438,POINT (-87.9259 41.8324)
55,3944,N,1100,41.752348725812745,-87.59012560914475,POINT (-87.7046 41.8953)
56,7556,N,1031,41.87545405223907,-87.74772192832513,POINT (-87.6482 41.9864)
57,3074,N,1898,41.867858476014774,-87.8312361258895,POINT (-87.6058 41.8308)
58,1022,E,1528,41.832405517554626,-87.57092646005569,POINT (-87.7971 42.0070)
59,3844,E,1649,41.77315703500388,-87.85739976239607,POINT (-87.9373 41.9978)
60,7990,W,1329,41.98691378181439,-87.54213400024356,POINT (-87.7386 41.9687)
61,9693,S,1166,41.76911269207356,-87.85363897516628,POINT (-87.9333 41.8300)
62,6874,E,1459,41.81313527944616,-87.68225306115393,POINT (-87.9014 41.6935)
63,5676,S,1822,41.8976832557626,-87.84630373949783,POINT (-87.8028 41.7228)
64,162,W,1952,41.84634814372937,-87.71081916071317,POINT (-87.7564 41.8861)
65,4298,S,1982,41.77181667101847,-87.65273044543564,POINT (-87.8226 41.8003)
66,996,E,1993,41.80554502037347,-87.86010426905554,POINT (-87.6956 41.6958)
67,7630,S,1100,41.94190271078433,-87.7212279712657,POINT (-87.9168 41.8220)
68,9468,E,1621,41.74568907908491,-87.74299490735615,POINT (-87.8793 41.6466)
69,1017,S,1855,41.69405699111519,-87.91016428301059,POINT (-87.6480 41.9189)
70,7870,E,1173,41.75900201669532,-87.59631071657637,POINT (-87.8803 41.6680)
71,6440,E,1749,41.962823001885404,-87.79901339173,POINT (-87.6713 41.8791)
72,7893,S,1162,41.67381609164541,-87.6986754770282,POINT (-87.9170 41.9413)
73,6864,W,1905,42.01684450788154,-87.72379062132808,POINT (-87.7689 41.6904)
74,7917,N,1728,41.845581101592515,-87.72443058808041,POINT (-87.8655 41.8371)
75,8530,W,1776,42.014241382707496,-87.89496659443243,POINT (-87.8940 41.9360)
76,879,S,1263,41.996818640392675,-87.76213755611528,POINT (-87.7018 41.7390)
77,9269,W,1804,41.81206921140015,-87.75000596113324,POINT (-87.5501 41.7019)
78,4888,E,1274,41.715426608350036,-87.63187000704693,POINT (-87.9170 41.7680)
79,4860,N,1003,41.702656215094756,-87.5871920905933,POINT (-87.7629 41.8508)
80,6332,S,1028,41.73119595827058,-87.71110744319799,POINT (-87.6428 41.8586)
81,8572,S,1326,41.909850403414524,-87.9035511592927,POINT (-87.7457 41.6897)
82,8685,S,1940,41.74372099799797,-87.84052322234945,POINT (-87.6013 41.8139)
83,7209,N,1149,41.769741602449635,-87.87072770872184,POINT (-87.8645 41.7419)
84,5277,E,1540,41.810535945517955,-87.88766167346057,POINT (-87.5370 41.9600)
85,2063,S,1488,41.98702841856016,-87.78632229458051,POINT (-87.7782 41.7592)
86,65,W,1822,41.71196949879624,-87.84365472909516,POINT (-87.7965 41.9587)
87,8007,S,1438,41.641910089991725,-87.84831269303916,POINT (-87.5727 41.8029)
88,2569,S,1065,41.662836635943705,-87.91702886667797,POINT (-87.7032 41.9161)
89,5464,S,1356,41.98381120983845,-87.93257858118592,POINT (-87.7231 41.8338)
90,2028,S,1533,41.88605625664048,-87.8968373380871,POINT (-87.6347 41.8763)
91,2696,E,1252,41.74375543534457,-87.86767705864207,POINT (-87.6965 41.7902)
92,9688,W,1235,41.70733315038425,-87.75898683388375,POINT (-87.8717 41.9319)
93,5259,E,1227,41.751821359922104,-87.72558149025448,POINT (-87.6568 41.8016)
94,5619,W,1525,41.68362283235549,-87.88095139436719,POINT (-87.8839 41.8138)
95,6737,S,1313,41.99778250590809,-87.76159099655983,POINT (-87.6015 41.8367)
96,392,N,1049,41.9379983462588,-87.79646548622311,POINT (-87.5243 41.9561)
97,5893,E,1118,41.81570864722677,-87.86296206973086,POINT (-87.7815 41.8906)
98,3562,N,1054,41.96868578994378,-87.93712688577769,POINT (-87.7532 41.7727)
99,6185,E,1650,41.73479411763143,-87.74385249606087,POINT (-87.9205 41.8947)
100,3100,S,1565,41.91250581601943,-87.6520262653086,POINT (-87.9342 41.8841)
101,6279,E,1044,41.965330349625226,-87.8449635196596,POINT (-87.5530 41.9938)
102,8393,S,1815,41.775572110416846,-87.88464113144339,POINT (-87.8860 41.9597)
103,3105,E,1053,41.92783648927128,-87.56744204733228,POINT (-87.7528 41.8860)
104,7216,S,1586,41.75212749272044,-87.82448959555512,POINT (-87.5976 41.7698)
105,2455,S,1558,41.75356571139843,-87.84608269968707,POINT (-87.5665 41.9362)
106,8997,W,1525,41.68068172785059,-87.58001928536383,POINT (-87.7219 41.8586)
107,2732,S,1677,41.80722205767357,-87.59681501834996,POINT (-87.7027 42.0144)
108,8155,W,1102,41.917290524469024,-87.75169448237965,POINT (-87.6587 41.7341)
109,9763,S,1792,41.99728390611709,-87.73451967820033,POINT (-87.5362 41.6703)
110,5057,N,1770,41.869442856933055,-87.8485455439697,POINT (-87.6869 41.6666)
111,8111,S,1982,41.96799150433959,-87.90711329839858,POINT (-87.7050 41.8832)
112,3841,N,1849,41.952547966730286,-87.69915863335062,POINT (-87.9339 41.9969)
113,1029,N,1868,41.70587036013061,-87.8986951329321,POINT (-87.9060 41.6407)
114,7386,S,1398,41.8246106229868,-87.7513046902782,POINT (-87.6976 41.9158)
115,503,N,1138,41.68443094349965,-87.54499117662454,POINT (-87.5468 41.8897)
116,6911,W,1675,41.899218201393424,-87.53980955654835,POINT (-87.5760 41.9183)
117,9063,E,1921,42.00096187393351,-87.8394804396501,POINT (-87.5273 41.7751)
118,6939,S,1387,41.69209399406993,-87.67787236358082,POINT (-87.7183 41.9518)
119,4489,N,1111,41.91887558970497,-87.74088796907469,POINT (-87.6091 41.6570)
120,207,S,1614,41.88025049732979,-87.57221224641383,POINT (-87.5870 41.9271)
121,5135,W,1017,41.86176991406308,-87.82599903700405,POINT (-87.6678 41.7415)
122,5978,S,1780,41.78824568918157,-87.93844498913039,POINT (-87.7977 41.8212)
123,7722,S,1182,41.77495002614645,-87.8717242935088,POINT (-87.7426 41.9526)
124,7036,N,1884,41.65719469182718,-87.79320042350885,POINT (-87.5797 41.7431)
125,1485,W,1536,41.722805309135765,-87.8073971254964,POINT (-87.8146 41.7104)
126,7859,E,1541,41.645767215269,-87.60762757396839,POINT (-87.5520 41.8989)
127,864,E,1171,41.86093850012117,-87.65416452022168,POINT (-87.8435 41.8427)
128,2791,N,1409,41.68022422963361,-87.81418634576174,POINT (-87.6252 41.8355)
129,7409,S,1740,41.9717473697313,-87.74774759679019,POINT (-87.6752 41.7376)
130,8756,N,1378,41.838794347864926,-87.8998651763375,POINT (-87.6252 41.6533)
131,5117,N,1188,41.905882165442314,-87.56277849317556,POINT (-87.7563 41.7959)
132,6020,N,1858,41.79612569489939,-87.54712157373162,POINT (-87.5483 41.6805)
133,1758,S,1230,41.8530203274204,-87.52848251514,POINT (-87.6744 41.9843)
134,7575,W,1833,41.99821048724732,-87.57520781106994,POINT (-87.8189 41.6557)
135,6375,N,1852,41.671438935057,-87.86693642716759,POINT (-87.6718 41.8040)
136,6893,S,1119,41.736496353331006,-87.92059747705531,POINT (-87.8195 41.6599)
137,1679,W,1156,41.93639556422601,-87.69656937448667,POINT (-87.8167 41.6763)
138,3243,N,1784,41.677520138615414,-87.55670588870909,POINT (-87.7722 41.8904)
139,4637,E,1687,41.66875121948356,-87.8655124281029,POINT (-87.5820 41.8859)
140,1060,W,1465,41.777385731526536,-87.93704197585785,POINT (-87.7299 41.6526)
141,6669,N,1104,41.67502382421952,-87.60169166066646,POINT (-87.6549 41.6404)
142,9915,W,1604,41.86232980803836,-87.90774581259957,POINT (-87.7754 41.6700)
143,3158,W,1698,41.72598459531031,-87.76624346659779,POINT (-87.8293 41.9299)
144,5916,W,1972,41.98036522601576,-87.65486731838071,POINT (-87.5391 41.8621)
145,9790,W,1795,41.9377300307212,-87.8405450141084,POINT (-87.6865 41.6545)
146,2694,W,1502,41.9058879783178,-87.90473572335237,POINT (-87.5477 41.8255)
147,3628,W,1693,41.87443873040611,-87.61659108404855,POINT (-87.8546 41.9106)
148,9556,N,1682,41.96811697752976,-87.67532646434744,POINT (-87.8783 41.9702)
149,5451,E,1699,41.72476358338625,-87.52483399651554,POINT (-87.5806 41.9949)
150,1664,S,1175,41.97178136025041,-87.79539062600561,POINT (-87.6540 41.7644)
151,9722,W,1734,41.94000707340114,-87.91405979775811,POINT (-87.8616 41.6916)
152,5593,S,1745,41.92430111402732,-87.63157298515917,POINT (-87.8269 41.7300)
153,7393,N,1674,41.85327715766847,-87.72087196408164,POINT (-87.6037 41.9349)
154,1307,W,1421,41.73357278116883,-87.85045434881656,POINT (-87.7494 42.0092)
155,6777,E,1134,41.800948208076925,-87.611673824618,POINT (-87.6584 41.8172)
156,5865,S,1391,41.941556848724744,-87.85442269594301,POINT (-87.8063 41.7560)
157,9475,W,1992,41.652075824055785,-87.83052210497016,POINT (-87.7799 41.8031)
158,7527,N,1736,41.93717929232023,-87.90113800716597,POINT (-87.5239 41.7558)
159,8902,E,1501,41.731226881385275,-87.77223844280704,POINT (-87.8360 41.7375)
160,5576,S,1665,41.69483749627421,-87.76404972594628,POINT (-87.7273 41.8656)
161,5531,S,1033,41.68396650090852,-87.7238840480537,POINT (-87.5854 41.6460)
162,4414,W,1055,41.65035500454131,-87.64223500780801,POINT (-87.8395 41.7386)
163,3749,E,1954,41.83896286438416,-87.55943760995422,POINT (-87.7656 41.8913)
164,664,E,1519,41.722938751623616,-87.88215167846712,POINT (-87.6817 41.6522)
165,1999,E,1756,42.01598407099626,-87.91717379869357,POINT (-87.7379 41.6716)
166,7995,E,1825,41.85828596723144,-87.93221688189038,POINT (-87.7470 41.7515)
167,1496,N,1638,41.692396402355286,-87.87967902121109,POINT (-87.7877 41.9736)
168,3305,E,1012,41.90172976550832,-87.66366121597171,POINT (-87.6936 41.9307)
169,3764,S,1528,41.9811425552737,-87.63445962724147,POINT (-87.6778 41.6484)
170,5233,S,1720,41.923168208240455,-87.60966760031819,POINT (-87.6656 41.8307)
171,1854,N,1555,41.66904714719499,-87.83764255100017,POINT (-87.9104 41.7444)
172,6586,S,1373,41.980435988853216,-87.81152417843016,POINT (-87.6750 41.8865)
173,1292,S,1484,41.94169316662679,-87.73708344886249,POINT (-87.5396 41.9142)
174,3582,E,1973,41.70015548204013,-87.9134630993187,POINT (-87.7128 41.9679)
175,7555,S,1647,41.65967863771847,-87.68332056025127,POINT (-87.6396 41.8207)
176,7281,N,1228,41.85177801861944,-87.52683128585618,POINT (-87.7062 42.0179)
177,1637,E,1623,41.69929360830919,-87.78846134922124,POINT (-87.5810 42.0124)
178,3697,W,1307,41.957144561986205,-87.62380406046161,POINT (-87.5496 41.9752)
179,699,E,1457,41.776167169535235,-87.72998575546076,POINT (-87.8626 41.8585)
180,4738,N,1160,41.9868991289999,-87.88631902536864,POINT (-87.7565 41.7912)
181,855,E,1331,41.854961505413584,-87.69546027150291,POINT (-87.7752 41.7785)
182,8165,E,1776,41.70941550601108,-87.81405280725349,POINT (-87.7698 41.6446)
183,5856,N,1225,41.69304756959672,-87.92555065244954,POINT (-87.8873 41.7347)
184,7393,E,1983,41.85905952627195,-87.67332951335054,POINT (-87.5983 41.9131)
185,6529,N,1729,41.929515772507735,-87.57924841328361,POINT (-87.9250 41.8694)
186,5250,N,1504,41.93697214614203,-87.79519669790206,POINT (-87.7181 41.9882)
187,5173,W,1456,41.74478781368769,-87.77607587017063,POINT (-87.6620 41.6590)
188,1708,S,1045,41.71761376838663,-87.56577089315377,POINT (-87.8529 41.6990)
189,5792,S,1214,41.64636739570711,-87.5982842983857,POINT (-87.5595 41.9399)
190,9926,E,1059,41.898095677456446,-87.63971981410825,POINT (-87.5878 41.7762)
191,5536,E,1644,41.66909593820475,-87.83550523322367,POINT (-87.7421 41.6850)
192,4932,W,1616,41.79988925667105,-87.557709004914,POINT (-87.7673 42.0187)
193,3511,W,1195,41.868639222326955,-87.87514538183353,POINT (-87.8406 41.9392)
194,203,W,1925,41.99610139906948,-87.67675638184477,POINT (-87.6334 41.7953)
195,4219,N,1489,41.75848481204319,-87.92790350417046,POINT (-87.8847 41.9529)
196,8959,W,1157,41.73491342172968,-87.66963768134352,POINT (-87.6543 41.8986)
197,4390,W,1610,41.88858085862872,-87.82359937221318,POINT (-87.5862 41.9402)
198,2328,E,1226,41.87531083218036,-87.75113566958284,POINT (-87.8440 41.9498)
199,8005,W,1412,41.76620171765709,-87.79498888813603,POINT (-87.5761 41.6722)
200,2932,N,1205,41.99267869749372,-87.86744216237659,POINT (-87.9260 41.8767)
201,7778,N,1079,41.961047684446065,-87.67876806816057,POINT (-87.5566 41.6426)
202,198,E,1124,41.72511336742873,-87.56957026684094,POINT (-87.8903 41.6565)
203,7126,W,1471,41.73087416726512,-87.53718461824138,POINT (-87.6688 41.9835)
204,1931,W,1940,41.834674131817096,-87.85921452747536,POINT (-87.8350 41.8405)
205,6288,N,1218,41.933957398657675,-87.63870343489354,POINT (-87.5886 41.9196)
206,8801,W,1516,41.656735344167615,-87.66097746602561,POINT (-87.7248 41.9586)
207,9340,W,1602,41.90346735841919,-87.79578132837868,POINT (-87.8832 42.0008)
208,4283,W,1104,41.8863296410052,-87.93197833627143,POINT (-87.7002 41.9704)
209,2512,S,1393,41.72796243644694,-87.6502876761286,POINT (-87.7687 41.8237)
210,9987,E,1631,41.89891414503172,-87.54289215856501,POINT (-87.6622 41.7677)
211,660,S,1645,41.997269612675794,-87.67450954879543,POINT (-87.5696 41.6987)
212,2812,E,1824,41.65777862108927,-87.7571770558412,POINT (-87.7681 41.7921)
213,7099,N,1608,41.761467781010985,-87.71943536447311,POINT (-87.8183 41.7793)
214,6547,W,1980,41.80650715233322,-87.85615590078284,POINT (-87.9339 41.8526)
215,9562,E,1434,41.98171893639139,-87.62477145122342,POINT (-87.6986 41.8929)
216,1987,S,1331,42.005659349711486,-87.62650367139587,POINT (-87.7710 42.0118)
217,8339,W,1143,41.80876379366861,-87.87888273383727,POINT (-87.7826 41.9168)
218,2912,N,1800,41.92501079661403,-87.57124907935014,POINT (-87.8632 41.8846)
219,1735,E,1540,41.84203118903051,-87.8269403094212,POINT (-87.7594 41.7673)
220,1844,E,1278,41.84435751520172,-87.52745245440661,POINT (-87.5265 41.6531)
221,8681,E,1233,41.745677815725216,-87.77918073410436,POINT (-87.8149 41.7495)
222,2977,W,1529,41.72244337342828,-87.86528869533151,POINT (-87.6881 41.9320)
223,1960,S,1571,41.74944203145114,-87.79227755323483,POINT (-87.6139 41.7180)
224,5760,S,1090,41.85140464275769,-87.75512426194717,POINT (-87.6254 41.9106)
225,6695,E,1492,41.651078970688395,-87.91089073532392,POINT (-87.8019 41.8603)
226,2386,N,1199,41.98475459885544,-87.69714827988622,POINT (-87.6834 41.7053)
227,4737,N,1362,41.69938780962892,-87.68899437525506,POINT (-87.5741 41.7394)
228,1803,S,1441,41.72363369721113,-87.62964920875322,POINT (-87.9335 41.8286)
229,8156,N,1026,41.83694494705011,-87.92774864523788,POINT (-87.7570 41.7990)
230,8121,S,1025,41.90984361120817,-87.7126799499378,POINT (-87.8458 41.9359)
231,6617,E,1394,41.67637704080287,-87.91777887802633,POINT (-87.7768 41.9191)
232,5535,S,1507,41.760723985067926,-87.645519427614,POINT (-87.7653 41.8583)
233,4062,S,1301,42.00809635011826,-87.91659424600559,POINT (-87.6264 41.9525)
234,263,E,1339,41.73969032737676,-87.55707430369651,POINT (-87.9006 41.8538)
235,6288,N,1267,41.758959055123995,-87.64512532190851,POINT (-87.7247 42.0065)
236,8816,S,1461,41.957869426434854,-87.72689629866423,POINT (-87.7030 41.7225)
237,9209,S,1693,41.659081484042375,-87.75456835222191,POINT (-87.7325 41.9114)
238,2050,E,1456,41.81655300414741,-87.88511749522642,POINT (-87.6326 41.7806)
239,5424,N,1360,41.78425437049164,-87.81778025638283,POINT (-87.7788 41.7460)
240,4549,S,1068,41.76030296876529,-87.57503717589123,POINT (-87.5431 41.7085)
241,3109,E,1863,41.74856584573701,-87.56012981914375,POINT (-87.7376 41.8500)
242,7159,S,1412,41.67472215984696,-87.93968596248438,POINT (-87.7001 41.7219)
243,7401,W,1971,41.75963381515363,-87.69046271557943,POINT (-87.5933 41.7161)
244,3171,E,1491,41.656359913031956,-87.63789374420945,POINT (-87.8244 42.0164)
245,9875,N,1833,41.93676626818489,-87.6801262673678,POINT (-87.9084 41.9447)
246,2256,N,1049,41.79132656170405,-87.90569449875613,POINT (-87.6427 41.9243)
247,1155,N,1687,41.80868345628157,-87.84855554250446,POINT (-87.7371 41.9417)
248,4500,N,1564,41.97956594285105,-87.83485708769982,POINT (-87.5635 42.0082)
249,6296,S,1102,41.890060893867265,-87.59067565485186,POINT (-87.5273 41.8578)
250,6198,S,1216,41.643062459270006,-87.74545623675024,POINT (-87.7724 41.7237)
251,9889,N,1438,41.99840643272529,-87.73553215098468,POINT (-87.7655 41.9676)
252,1649,N,1700,41.73011489707153,-87.5473449204471,POINT (-87.7687 41.9222)
253,5540,N,1569,41.680893390208745,-87.67242392668102,POINT (-87.8037 41.7974)
254,9638,S,1559,41.931888707784736,-87.56255956534788,POINT (-87.6117 41.8200)
255,4200,N,1159,41.83018138002935,-87.74826628075655,POINT (-87.6212 41.7963)
256,8446,N,1489,41.80483281508685,-87.87723677142232,POINT (-87.7390 41.9934)
257,2558,W,1686,41.73481117027944,-87.54942705048887,POINT (-87.9212 41.7705)
258,5593,W,1242,41.848039166147686,-87.74734385141963,POINT (-87.8100 42.0061)
259,99,N,1794,41.74426614997699,-87.86371480281089,POINT (-87.8172 41.9859)
260,2201,E,1753,41.982601542009085,-87.81299378907235,POINT (-87.5993 41.8796)
261,2962,N,1882,41.72177770229862,-87.91866291233065,POINT (-87.9032 41.8603)
262,4974,W,1005,41.97605495717319,-87.74331375158832,POINT (-87.6016 41.7806)
263,4434,E,1596,41.852574061776394,-87.5816861677977,POINT (-87.6589 41.6470)
264,2870,E,1820,41.9548254908802,-87.54789620847718,POINT (-87.6324 41.6885)
265,957,N,1361,41.910881478427164,-87.54830707284846,POINT (-87.7585 41.9266)
266,8353,W,1459,41.90474414234597,-87.88740338923593,POINT (-87.6545 41.8192)
267,5700,W,1248,41.76325140692412,-87.77953736934535,POINT (-87.6842 41.6969)
268,6945,E,1566,41.72888083395944,-87.9281439209467,POINT (-87.6170 41.7403)
269,4494,N,1673,41.7201367665187,-87.58083055511197,POINT (-87.7524 42.0002)
270,9493,S,1946,41.96573282968264,-87.78932257995106,POINT (-87.7414 41.7795)
271,4912,S,1422,41.95176219169843,-87.67493084828526,POINT (-87.6697 41.9849)
272,3988,W,1923,41.807417940644676,-87.63974265600754,POINT (-87.8946 41.7558)
273,9720,S,1738,41.690313753128656,-87.75946523870788,POINT (-87.7568 41.8464)
274,6016,W,1015,41.78525585575144,-87.8112942186489,POINT (-87.5318 41.6478)
275,1219,W,1736,41.87535051257203,-87.5358705777513,POINT (-87.9242 41.8383)
276,4497,W,1573,41.812673198702385,-87.53491494548997,POINT (-87.8073 41.8820)
277,4736,S,1122,41.93647192202354,-87.81843672542739,POINT (-87.8081 41.7290)
278,4556,W,1277,42.01909667245553,-87.73855745936733,POINT (-87.6739 41.8600)
279,9147,E,1558,41.71263019361058,-87.53140545336278,POINT (-87.8956 41.8859)
280,8051,N,1453,41.814667311470636,-87.93795526878469,POINT (-87.6760 41.9010)
281,3447,N,1390,41.803773882729914,-87.76667513568076,POINT (-87.9001 41.9350)
282,1046,W,1294,41.7557071624446,-87.897807829134,POINT (-87.9001 41.7583)
283,6894,N,1574,41.715276296353714,-87.7261536544637,POINT (-87.6342 41.8558)
284,1694,S,1598,41.66496300426607,-87.929638619093,POINT (-87.8039 42.0130)
285,3437,S,1446,41.97710534054501,-87.76910265881594,POINT (-87.5295 41.9813)
286,8755,N,1210,41.799542505120804,-87.84730638859016,POINT (-87.9243 42.0020)
287,5896,S,1590,41.82882029703002,-87.71601048776732,POINT (-87.7531 41.7867)
288,3355,N,1714,41.98843797831635,-87.5216826673777,POINT (-87.8925 41.9390)
289,226,N,1302,41.93499038145606,-87.60377483584676,POINT (-87.7924 41.8756)
290,4894,N,1909,41.68959048036453,-87.58483032151774,POINT (-87.5207 41.6714)
291,7023,W,1223,41.854859587690946,-87.67318870530919,POINT (-87.5667 41.9531)
292,9152,N,1734,41.808055865077435,-87.92254486372565,POINT (-87.9197 41.8973)
293,5601,W,1003,41.94294020757993,-87.85314497606146,POINT (-87.7034 41.7156)
294,7997,N,1990,41.91520836809254,-87.55147288629223,POINT (-87.6679 41.6703)
295,9008,N,1518,41.90235417432621,-87.78623249046993,POINT (-87.8520 41.9581)
296,7684,N,1093,41.76940703748236,-87.89647257487806,POINT (-87.8791 41.6700)
297,4643,S,1520,41.94588621755172,-87.6449897463362,POINT (-87.5602 41.6747)
298,7680,W,1428,41.65990869232605,-87.81422775594761,POINT (-87.5331 41.8024)
299,8209,W,1493,41.70065746254422,-87.82708009658025,POINT (-87.5234 41.6912)
300,7340,N,1235,41.767536843731605,-87.52084946866553,POINT (-87.6083 41.9872)
301,9436,N,1620,41.669186827606325,-87.5795816514888,POINT (-87.6613 41.8187)
302,2206,S,1161,41.729297825463185,-87.7686661162855,POINT (-87.7948 41.8563)
303,1070,S,1721,41.95545737353921,-87.52829029271706,POINT (-87.8680 41.9927)
304,3445,S,1752,42.000335584360236,-87.66695244616393,POINT (-87.9068 41.8415)
305,1061,W,1331,41.755748895194195,-87.6283505702105,POINT (-87.6488 41.7744)
306,2328,W,1333,41.74051600551576,-87.92676452190547,POINT (-87.6104 41.9429)
307,3421,W,1050,41.746359207853644,-87.88892579107382,POINT (-87.5929 41.8083)
308,302,N,1523,41.74553325319332,-87.67410424687158,POINT (-87.5562 41.7610)
309,607,W,1863,41.65365346923067,-87.5624099272872,POINT (-87.5704 41.9148)
310,3171,E,1668,41.99222821160583,-87.67802763504321,POINT (-87.5201 41.9446)
311,700,E,1492,41.72120529379673,-87.88370954438602,POINT (-87.8375 41.9409)
312,5089,S,1582,41.79960154815094,-87.89138078057654,POINT (-87.6194 42.0115)
313,9332,W,1681,41.643681015441565,-87.58544192375388,POINT (-87.6937 41.9389)
314,191,E,1272,41.96602293454772,-87.88149301774267,POINT (-87.8303 41.9326)
315,981,S,1580,41.91783979089287,-87.7215025765883,POINT (-87.5276 41.9658)
316,2976,W,1867,41.99976729336601,-87.92441240561583,POINT (-87.5629 41.6401)
317,6103,N,1252,41.93701388209463,-87.9061186976957,POINT (-87.8860 41.7777)
318,1185,E,1560,41.759208474579786,-87.65761372758999,POINT (-87.9290 41.9203)
319,3328,N,1696,41.7341918763168,-87.65054380762044,POINT (-87.6509 41.8679)
320,3395,W,1832,41.905132196870255,-87.79658284922445,POINT (-87.6863 41.7075)
321,8320,E,1699,41.77836285450399,-87.84944389859791,POINT (-87.5470 41.7554)
322,1817,W,1090,41.855161705986,-87.59824168628192,POINT (-87.8417 41.7680)
323,5855,N,1446,41.64237783899006,-87.84881664362264,POINT (-87.9046 41.8558)
324,6710,E,1332,41.663516566638584,-87.71234863074012,POINT (-87.8311 41.9560)
